net,length_um
_07921_,14.42µm
_08392_,14.42µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[16\].rf_reg_q\[25\],14.42µm
u_ibex_top.u_ibex_core.ex_block_i.gen_multdiv_fast.multdiv_i.op_quotient_q\[26\],14.42µm
u_ibex_top.u_ibex_core.if_stage_i.gen_prefetch_buffer.prefetch_buffer_i.fifo_i.err_q\[1\],14.42µm
net4232,14.42µm
_03034_,14.4µm
_04761_,14.4µm
_06696_,14.4µm
_08655_,14.4µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[16\].rf_reg_q\[17\],14.4µm
_05853_,14.38µm
_09157_,14.38µm
_09511_,14.38µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[10\].rf_reg_q\[0\],14.38µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[23\].rf_reg_q\[30\],14.38µm
net2926,14.38µm
net3076,14.38µm
_04522_,14.36µm
_06325_,14.36µm
u_ibex_top.u_ibex_core.if_stage_i.gen_prefetch_buffer.prefetch_buffer_i.fifo_i.rdata_q\[19\],14.36µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[30\].rf_reg_q\[2\],14.35µm
_05940_,14.34µm
_08615_,14.34µm
_09514_,14.34µm
net4112,14.34µm
instr_rdata_i[24],14.33µm
_03797_,14.32µm
_04608_,14.32µm
_04838_,14.32µm
net4200,14.32µm
u_ibex_top.u_ibex_core.cs_registers_i.dscratch1_q\[6\],14.305µm
net2811,14.305µm
_02141_,14.3µm
_02316_,14.3µm
_03009_,14.3µm
_03884_,14.3µm
_04892_,14.3µm
_05168_,14.3µm
_07097_,14.3µm
_07535_,14.3µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[1\].rf_reg_q\[24\],14.3µm
net2828,14.3µm
net410,14.29µm
_05823_,14.285µm
_08273_,14.28µm
_09721_,14.28µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[11\].rf_reg_q\[27\],14.28µm
u_ibex_top.u_ibex_core.ex_block_i.alu_i.g_no_alu_rvb.unused_imd_val_q\[10\],14.265µm
_04502_,14.26µm
_06048_,14.26µm
_06091_,14.26µm
_08587_,14.26µm
_09136_,14.26µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[18\].rf_reg_q\[0\],14.26µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[21\].rf_reg_q\[13\],14.26µm
net3454,14.26µm
net4136,14.26µm
_06221_,14.24µm
_09399_,14.24µm
u_ibex_top.u_ibex_core.if_stage_i.gen_prefetch_buffer.prefetch_buffer_i.fifo_i.rdata_q\[11\],14.24µm
net4138,14.24µm
_00598_,14.22µm
_06058_,14.22µm
_09570_,14.22µm
_09571_,14.22µm
_09009_,14.2µm
irq_fast_i[12],14.2µm
irq_fast_i[4],14.2µm
_04202_,14.195µm
_02167_,14.18µm
_03441_,14.18µm
_05425_,14.18µm
_05452_,14.18µm
_06067_,14.18µm
_08086_,14.18µm
u_ibex_top.u_ibex_core.cs_registers_i.dscratch1_q\[25\],14.18µm
_02246_,14.16µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[12\].rf_reg_q\[17\],14.16µm
u_ibex_top.u_ibex_core.cs_registers_i.dscratch0_q\[30\],14.16µm
net3616,14.16µm
instr_addr_o[26],14.15µm
instr_addr_o[29],14.15µm
_03449_,14.14µm
_04607_,14.14µm
_05393_,14.14µm
_07122_,14.14µm
_07611_,14.14µm
_08796_,14.14µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[3\].rf_reg_q\[30\],14.14µm
u_ibex_top.u_ibex_core.cs_registers_i.dscratch1_q\[11\],14.14µm
u_ibex_top.u_ibex_core.cs_registers_i.mstack_epc_q\[7\],14.14µm
_03049_,14.12µm
_06519_,14.12µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[25\].rf_reg_q\[29\],14.12µm
net3754,14.12µm
_00583_,14.1µm
_02059_,14.1µm
_02226_,14.1µm
_03017_,14.1µm
_03114_,14.1µm
_04155_,14.1µm
_06623_,14.1µm
_08176_,14.1µm
_09315_,14.1µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[20\].rf_reg_q\[2\],14.1µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[26\].rf_reg_q\[13\],14.1µm
_03016_,14.08µm
_03735_,14.08µm
_03924_,14.08µm
_05752_,14.08µm
_05938_,14.08µm
_06006_,14.08µm
_06126_,14.08µm
_08745_,14.08µm
_09437_,14.08µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[30\].rf_reg_q\[4\],14.08µm
u_ibex_top.u_ibex_core.cs_registers_i.mstack_epc_q\[24\],14.08µm
_06372_,14.075µm
_02937_,14.06µm
_03562_,14.06µm
_06300_,14.04µm
_08779_,14.04µm
_08826_,14.04µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[18\].rf_reg_q\[23\],14.04µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[22\].rf_reg_q\[29\],14.04µm
net2814,14.04µm
net3215,14.04µm
net3346,14.04µm
_02007_,14.02µm
_06972_,14.02µm
_07654_,14.02µm
net130,14.02µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[24\].rf_reg_q\[26\],14.02µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[28\].rf_reg_q\[18\],14.02µm
_04830_,14µm
_05119_,14µm
_05211_,14µm
_06122_,14µm
_06396_,14µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[22\].rf_reg_q\[10\],14µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[4\].rf_reg_q\[3\],14µm
u_ibex_top.u_ibex_core.cs_registers_i.mstack_epc_q\[3\],14µm
u_ibex_top.u_ibex_core.load_store_unit_i.rdata_q\[11\],14µm
_04721_,13.99µm
_07960_,13.99µm
_04531_,13.98µm
_04913_,13.98µm
_05556_,13.98µm
_06149_,13.98µm
_09102_,13.98µm
_02287_,13.96µm
_02304_,13.96µm
_05461_,13.96µm
net4189,13.96µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[1\].rf_reg_q\[5\],13.955µm
data_rdata_i[12],13.95µm
_06606_,13.94µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[24\].rf_reg_q\[14\],13.94µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[7\].rf_reg_q\[16\],13.94µm
_03327_,13.92µm
_03930_,13.92µm
_05006_,13.92µm
_05883_,13.92µm
_09703_,13.92µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[12\].rf_reg_q\[9\],13.92µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[21\].rf_reg_q\[0\],13.92µm
u_ibex_top.u_ibex_core.if_stage_i.gen_prefetch_buffer.prefetch_buffer_i.discard_req_d,13.92µm
net4235,13.92µm
_02635_,13.9µm
u_ibex_top.u_ibex_core.id_stage_i.controller_i.instr_compressed_i\[6\],13.9µm
u_ibex_top.u_ibex_core.if_stage_i.gen_prefetch_buffer.prefetch_buffer_i.fifo_i.rdata_q\[37\],13.9µm
_01833_,13.885µm
_02525_,13.88µm
_03063_,13.88µm
_03756_,13.88µm
_04413_,13.88µm
_05451_,13.88µm
_06331_,13.88µm
_09322_,13.88µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[28\].rf_reg_q\[21\],13.88µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[9\].rf_reg_q\[28\],13.88µm
_08042_,13.87µm
_03625_,13.86µm
_07662_,13.86µm
net3317,13.86µm
_02116_,13.84µm
_03546_,13.84µm
_03996_,13.84µm
_05294_,13.84µm
_05756_,13.84µm
_07235_,13.84µm
_07741_,13.84µm
_09217_,13.84µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[15\].rf_reg_q\[20\],13.84µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[27\].rf_reg_q\[8\],13.84µm
net3517,13.84µm
_02172_,13.82µm
_05031_,13.82µm
_09677_,13.82µm
net2786,13.82µm
net953,13.81µm
net2036,13.81µm
_03380_,13.8µm
_04828_,13.8µm
_08696_,13.8µm
_08711_,13.8µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[25\].rf_reg_q\[4\],13.8µm
net2003,13.8µm
net2800,13.8µm
net3086,13.8µm
_08257_,13.79µm
_03895_,13.78µm
_04616_,13.78µm
_08283_,13.78µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[20\].rf_reg_q\[19\],13.78µm
net3633,13.78µm
net3730,13.78µm
net3932,13.78µm
_00285_,13.76µm
_05117_,13.76µm
_05793_,13.76µm
_05869_,13.76µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[11\].rf_reg_q\[26\],13.76µm
u_ibex_top.u_ibex_core.if_stage_i.gen_prefetch_buffer.prefetch_buffer_i.fifo_i.rdata_q\[38\],13.76µm
_04718_,13.74µm
_08550_,13.74µm
_08661_,13.725µm
_07705_,13.72µm
_07732_,13.72µm
_08957_,13.72µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[9\].rf_reg_q\[31\],13.72µm
u_ibex_top.u_ibex_core.if_stage_i.gen_prefetch_buffer.prefetch_buffer_i.fifo_i.rdata_q\[54\],13.72µm
net3480,13.72µm
net4230,13.72µm
_02521_,13.7µm
_03863_,13.7µm
_03893_,13.7µm
_05353_,13.7µm
net4061,13.7µm
_06377_,13.69µm
_02404_,13.68µm
_03637_,13.68µm
_07634_,13.68µm
_08766_,13.68µm
_09630_,13.68µm
u_ibex_top.u_ibex_core.ex_block_i.gen_multdiv_fast.multdiv_i.op_numerator_q\[30\],13.68µm
u_ibex_top.u_ibex_core.ex_block_i.gen_multdiv_fast.multdiv_i.op_quotient_q\[16\],13.68µm
u_ibex_top.u_ibex_core.ex_block_i.gen_multdiv_fast.multdiv_i.op_quotient_q\[31\],13.68µm
u_ibex_top.u_ibex_core.if_stage_i.gen_prefetch_buffer.prefetch_buffer_i.stored_addr_q\[12\],13.68µm
u_ibex_top.u_ibex_core.if_stage_i.gen_prefetch_buffer.prefetch_buffer_i.stored_addr_q\[3\],13.68µm
net3700,13.68µm
net2950,13.66µm
net3118,13.66µm
_02550_,13.64µm
_03426_,13.64µm
_07707_,13.64µm
u_ibex_top.u_ibex_core.if_stage_i.gen_prefetch_buffer.prefetch_buffer_i.fifo_i.rdata_q\[17\],13.64µm
u_ibex_top.u_ibex_core.if_stage_i.gen_prefetch_buffer.prefetch_buffer_i.fifo_i.rdata_q\[43\],13.64µm
_04374_,13.62µm
_05350_,13.62µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[10\].rf_reg_q\[27\],13.62µm
net3596,13.62µm
_06047_,13.61µm
u_ibex_top.u_ibex_core.cs_registers_i.mstack_epc_q\[21\],13.61µm
_02882_,13.6µm
_03612_,13.6µm
_08802_,13.6µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[15\].rf_reg_q\[1\],13.6µm
_00230_,13.58µm
_02138_,13.58µm
_02534_,13.58µm
_03935_,13.58µm
_05944_,13.58µm
_07888_,13.58µm
_09347_,13.58µm
net3283,13.58µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[10\].rf_reg_q\[12\],13.565µm
_04446_,13.56µm
_07427_,13.56µm
_08433_,13.56µm
_09065_,13.56µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[4\].rf_reg_q\[0\],13.56µm
u_ibex_top.u_ibex_core.cs_registers_i.csr_mtvec_o\[19\],13.56µm
_03556_,13.54µm
_04900_,13.54µm
_07393_,13.54µm
_08236_,13.54µm
u_ibex_top.crash_dump_o\[82\],13.54µm
u_ibex_top.u_ibex_core.cs_registers_i.mstack_cause_q\[6\],13.54µm
net3261,13.54µm
net3300,13.54µm
net4055,13.54µm
_04575_,13.535µm
_00053_,13.52µm
_02655_,13.52µm
_05097_,13.52µm
_08596_,13.52µm
_05203_,13.51µm
_01961_,13.5µm
_02037_,13.5µm
_04685_,13.5µm
_05509_,13.5µm
_05693_,13.5µm
_07763_,13.5µm
_08169_,13.5µm
_09475_,13.5µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[3\].rf_reg_q\[20\],13.5µm
net2776,13.5µm
_02954_,13.48µm
_04510_,13.48µm
_04974_,13.48µm
_05312_,13.48µm
_06105_,13.48µm
_07677_,13.48µm
u_ibex_top.u_ibex_core.ex_block_i.gen_multdiv_fast.multdiv_i.op_numerator_q\[19\],13.48µm
net3095,13.48µm
_02291_,13.46µm
_03052_,13.46µm
_03459_,13.46µm
_04408_,13.46µm
_04842_,13.46µm
_07956_,13.46µm
_08255_,13.46µm
_09361_,13.46µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[5\].rf_reg_q\[16\],13.46µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[5\].rf_reg_q\[8\],13.46µm
u_ibex_top.u_ibex_core.cs_registers_i.dscratch0_q\[10\],13.46µm
net2815,13.46µm
net3711,13.46µm
_02279_,13.44µm
_06021_,13.44µm
_07789_,13.44µm
net3370,13.44µm
net3868,13.44µm
_00522_,13.42µm
_02764_,13.42µm
_03191_,13.42µm
_04082_,13.42µm
_05640_,13.42µm
_07902_,13.42µm
_08025_,13.42µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[19\].rf_reg_q\[29\],13.42µm
_02150_,13.405µm
_02370_,13.4µm
_05446_,13.4µm
_06799_,13.4µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[3\].rf_reg_q\[6\],13.4µm
net3647,13.4µm
net2562,13.39µm
_02014_,13.38µm
_02259_,13.38µm
_03485_,13.38µm
_04146_,13.38µm
_04406_,13.38µm
_04520_,13.38µm
_04722_,13.38µm
_06129_,13.38µm
_07159_,13.38µm
_07961_,13.38µm
_08556_,13.38µm
_09659_,13.38µm
net3235,13.38µm
_01727_,13.36µm
_07009_,13.36µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[28\].rf_reg_q\[4\],13.36µm
net3707,13.36µm
net3839,13.36µm
net2527,13.35µm
u_ibex_top.u_ibex_core.ex_block_i.alu_i.g_no_alu_rvb.unused_imd_val_q\[13\],13.345µm
_02612_,13.34µm
_05111_,13.34µm
_05376_,13.34µm
_07404_,13.34µm
_07406_,13.34µm
_09569_,13.34µm
_09711_,13.34µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[25\].rf_reg_q\[5\],13.34µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[7\].rf_reg_q\[1\],13.34µm
net3357,13.34µm
_05045_,13.32µm
_07940_,13.32µm
_09320_,13.32µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[28\].rf_reg_q\[5\],13.32µm
_02372_,13.3µm
_04920_,13.3µm
_05990_,13.3µm
_06873_,13.3µm
_07733_,13.3µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[11\].rf_reg_q\[5\],13.3µm
u_ibex_top.u_ibex_core.if_stage_i.gen_prefetch_buffer.prefetch_buffer_i.fifo_i.rdata_q\[83\],13.3µm
net3770,13.3µm
net2452,13.29µm
_01345_,13.28µm
_00526_,13.265µm
_08108_,13.26µm
_09089_,13.26µm
_09155_,13.26µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[16\].rf_reg_q\[0\],13.26µm
u_ibex_top.u_ibex_core.ex_block_i.alu_i.g_no_alu_rvb.unused_imd_val_q\[7\],13.255µm
_01152_,13.24µm
_03006_,13.24µm
_05185_,13.24µm
_06210_,13.24µm
_08329_,13.24µm
net2699,13.24µm
net2700,13.24µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[29\].rf_reg_q\[30\],13.24µm
_08018_,13.23µm
_09473_,13.23µm
_04590_,13.22µm
_08532_,13.22µm
_09379_,13.22µm
_09575_,13.22µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[20\].rf_reg_q\[20\],13.22µm
u_ibex_top.u_ibex_core.cs_registers_i.dscratch0_q\[3\],13.22µm
_02667_,13.2µm
_05361_,13.2µm
_08093_,13.2µm
_09130_,13.2µm
_09286_,13.2µm
_09336_,13.2µm
_09495_,13.2µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[5\].rf_reg_q\[1\],13.2µm
net2987,13.2µm
net3910,13.2µm
_05160_,13.18µm
_07610_,13.18µm
_08459_,13.18µm
u_ibex_top.u_ibex_core.id_stage_i.controller_i.instr_compressed_i\[8\],13.18µm
_00644_,13.16µm
_00981_,13.16µm
_01132_,13.16µm
_01741_,13.16µm
_05081_,13.16µm
_07250_,13.16µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[26\].rf_reg_q\[12\],13.16µm
net2621,13.16µm
net2739,13.16µm
net3577,13.16µm
net3713,13.16µm
net3967,13.16µm
net4275,13.16µm
_03480_,13.14µm
_08021_,13.14µm
_09095_,13.14µm
_09459_,13.14µm
_09825_,13.14µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[22\].rf_reg_q\[5\],13.14µm
u_ibex_top.u_ibex_core.cs_registers_i.mie_q\[16\],13.14µm
net3848,13.14µm
_05450_,13.135µm
net2556,13.13µm
_02599_,13.12µm
_04147_,13.12µm
_05261_,13.12µm
_08506_,13.12µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[22\].rf_reg_q\[24\],13.12µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[2\].rf_reg_q\[2\],13.12µm
u_ibex_top.u_ibex_core.if_stage_i.gen_prefetch_buffer.prefetch_buffer_i.fifo_i.rdata_q\[81\],13.12µm
_09132_,13.11µm
_05760_,13.1µm
_06671_,13.1µm
_07565_,13.1µm
_07632_,13.1µm
_07910_,13.1µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[23\].rf_reg_q\[21\],13.1µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[9\].rf_reg_q\[8\],13.1µm
net2435,13.1µm
_05586_,13.095µm
_01750_,13.085µm
_02981_,13.08µm
_04512_,13.08µm
_04911_,13.08µm
_05258_,13.08µm
_07771_,13.08µm
_09218_,13.08µm
_09321_,13.08µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[6\].rf_reg_q\[17\],13.08µm
u_ibex_top.u_ibex_core.if_stage_i.gen_prefetch_buffer.prefetch_buffer_i.fifo_i.rdata_q\[13\],13.08µm
net3332,13.08µm
net3878,13.08µm
net4331,13.08µm
_00169_,13.06µm
_02078_,13.06µm
_02362_,13.06µm
_03584_,13.06µm
_03926_,13.06µm
_04589_,13.06µm
_05436_,13.06µm
_08119_,13.05µm
_02328_,13.04µm
_04729_,13.04µm
_04930_,13.04µm
_06315_,13.04µm
_07536_,13.04µm
_09070_,13.04µm
_09791_,13.04µm
net254,13.04µm
_07671_,13.03µm
_04303_,13.02µm
_04665_,13.02µm
_06564_,13.02µm
_06574_,13.02µm
_07350_,13.02µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[20\].rf_reg_q\[16\],13.02µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[24\].rf_reg_q\[13\],13.02µm
net3125,13.02µm
net3195,13.02µm
_03305_,13µm
_05061_,13µm
_05715_,13µm
_06421_,13µm
_06782_,13µm
_07717_,13µm
_08121_,13µm
_08164_,13µm
_08827_,13µm
_09512_,13µm
net3183,13µm
_06530_,12.995µm
data_rdata_i[2],12.99µm
_01579_,12.98µm
_02836_,12.98µm
_05213_,12.98µm
_05809_,12.98µm
_06974_,12.98µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[6\].rf_reg_q\[23\],12.98µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[6\].rf_reg_q\[4\],12.98µm
net4039,12.98µm
net4057,12.98µm
_03662_,12.96µm
_03986_,12.96µm
_05249_,12.96µm
_05993_,12.96µm
_07442_,12.96µm
_09116_,12.96µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[1\].rf_reg_q\[1\],12.96µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[27\].rf_reg_q\[16\],12.96µm
net1303,12.96µm
net3746,12.96µm
net3797,12.96µm
net3939,12.96µm
_02419_,12.94µm
_07217_,12.94µm
net2710,12.94µm
net3818,12.94µm
_02222_,12.92µm
_02980_,12.92µm
_04416_,12.92µm
_05053_,12.92µm
_05631_,12.92µm
_06240_,12.92µm
_06778_,12.92µm
_07945_,12.92µm
net3127,12.92µm
net4161,12.92µm
_04898_,12.905µm
_03648_,12.9µm
_05751_,12.9µm
_06055_,12.9µm
_02526_,12.89µm
_09158_,12.89µm
u_ibex_top.u_ibex_core.cs_registers_i.mscratch_q\[4\],12.885µm
_01525_,12.88µm
_02429_,12.88µm
_03035_,12.88µm
_04668_,12.88µm
_05890_,12.88µm
_09455_,12.88µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[6\].rf_reg_q\[26\],12.88µm
u_ibex_top.u_ibex_core.cs_registers_i.dscratch1_q\[23\],12.88µm
net3162,12.88µm
net3531,12.88µm
u_ibex_top.u_ibex_core.ex_block_i.gen_multdiv_fast.multdiv_i.op_numerator_q\[11\],12.875µm
_04232_,12.86µm
_07473_,12.86µm
u_ibex_top.u_ibex_core.cs_registers_i.dscratch1_q\[14\],12.86µm
net2409,12.85µm
_01274_,12.84µm
_02047_,12.84µm
_02244_,12.84µm
_02301_,12.84µm
_03552_,12.84µm
_03806_,12.84µm
_05530_,12.84µm
_08322_,12.84µm
_08654_,12.84µm
_09281_,12.84µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[7\].rf_reg_q\[7\],12.84µm
u_ibex_top.u_ibex_core.cs_registers_i.mstack_q\[0\],12.84µm
net4153,12.84µm
_02096_,12.82µm
_05817_,12.82µm
_07313_,12.82µm
_08055_,12.82µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[13\].rf_reg_q\[18\],12.82µm
u_ibex_top.u_ibex_core.ex_block_i.gen_multdiv_fast.multdiv_i.op_quotient_q\[22\],12.82µm
net2897,12.82µm
net2908,12.82µm
net3669,12.82µm
_07008_,12.81µm
_02087_,12.8µm
_02552_,12.8µm
_03622_,12.8µm
_07589_,12.8µm
_09256_,12.8µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[3\].rf_reg_q\[3\],12.8µm
net4244,12.8µm
net4363,12.8µm
_06612_,12.78µm
_08452_,12.78µm
net3240,12.78µm
net3908,12.78µm
u_ibex_top.u_ibex_core.ex_block_i.gen_multdiv_fast.multdiv_i.op_numerator_q\[27\],12.765µm
_06329_,12.76µm
_08109_,12.76µm
_09607_,12.76µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[10\].rf_reg_q\[16\],12.76µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[22\].rf_reg_q\[15\],12.76µm
u_ibex_top.u_ibex_core.id_stage_i.controller_i.ctrl_fsm_cs\[8\],12.76µm
net3176,12.76µm
_03399_,12.755µm
net2992,12.745µm
_00948_,12.74µm
_02703_,12.74µm
_02751_,12.74µm
_04628_,12.74µm
_05146_,12.74µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[23\].rf_reg_q\[16\],12.74µm
net3519,12.74µm
_06413_,12.73µm
_02848_,12.72µm
_03068_,12.72µm
_04102_,12.72µm
_05219_,12.72µm
_09708_,12.72µm
net3259,12.72µm
_00528_,12.7µm
_02747_,12.7µm
_03062_,12.7µm
_04059_,12.7µm
_07655_,12.7µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[12\].rf_reg_q\[4\],12.7µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[14\].rf_reg_q\[21\],12.7µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[2\].rf_reg_q\[29\],12.7µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[30\].rf_reg_q\[23\],12.7µm
u_ibex_top.u_ibex_core.cs_registers_i.csr_mtvec_o\[20\],12.7µm
u_ibex_top.u_ibex_core.cs_registers_i.mstack_epc_q\[19\],12.7µm
net3891,12.7µm
_09661_,12.69µm
_04709_,12.68µm
_05808_,12.68µm
_07802_,12.68µm
_08645_,12.68µm
_07489_,12.67µm
_04658_,12.66µm
_05917_,12.66µm
_07645_,12.66µm
_08045_,12.66µm
_08146_,12.66µm
_08470_,12.66µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[13\].rf_reg_q\[30\],12.66µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[18\].rf_reg_q\[14\],12.66µm
u_ibex_top.u_ibex_core.ex_block_i.gen_multdiv_fast.multdiv_i.op_quotient_q\[13\],12.66µm
u_ibex_top.u_ibex_core.if_stage_i.gen_prefetch_buffer.prefetch_buffer_i.fifo_i.rdata_q\[90\],12.66µm
net3761,12.66µm
data_rdata_i[14],12.65µm
data_rdata_i[18],12.65µm
data_rdata_i[22],12.65µm
data_rdata_i[26],12.65µm
data_rdata_i[30],12.65µm
data_rdata_i[6],12.65µm
_00638_,12.64µm
_02485_,12.64µm
_05246_,12.64µm
_06478_,12.64µm
_06611_,12.64µm
_08120_,12.64µm
_08384_,12.64µm
u_ibex_top.u_ibex_core.cs_registers_i.mscratch_q\[15\],12.64µm
_00545_,12.62µm
_03024_,12.62µm
_04554_,12.62µm
_06247_,12.62µm
_07372_,12.62µm
_08183_,12.62µm
_09261_,12.62µm
_09560_,12.62µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[29\].rf_reg_q\[28\],12.62µm
net2762,12.62µm
net2925,12.62µm
net3657,12.62µm
_02354_,12.6µm
_03504_,12.6µm
_06118_,12.6µm
_06602_,12.6µm
_08092_,12.6µm
_03278_,12.58µm
_03400_,12.58µm
_04005_,12.58µm
_04694_,12.58µm
_05074_,12.58µm
_06145_,12.58µm
_09540_,12.58µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[17\].rf_reg_q\[2\],12.58µm
