net,length_um
u_ibex_top.u_ibex_core.load_store_unit_i.handle_misaligned_q,343.42µm
net608,342.98µm
net511,342.92µm
net878,342.56µm
_07788_,342.52µm
net716,342.33µm
clknet_leaf_194_u_ibex_top.clk,342.3µm
_04526_,342.29µm
u_ibex_top.u_ibex_core.ex_block_i.alu_i.g_no_alu_rvb.unused_imd_val_q\[35\],341.785µm
net1963,341.54µm
net1230,341.24µm
net2041,341µm
_05025_,340.92µm
net1718,340.89µm
net2293,340.86µm
u_ibex_top.u_ibex_core.alu_adder_result_ex\[14\],340.84µm
u_ibex_top.gen_regfile_ff.register_file_i.waddr_a_i\[2\],340.62µm
net1805,340.565µm
u_ibex_top.u_ibex_core.ex_block_i.alu_i.g_no_alu_rvb.unused_imd_val_q\[46\],340.39µm
net546,340.06µm
net660,340.04µm
net638,339.8µm
net2317,339.67µm
net1836,339.59µm
net1635,339.41µm
net1594,339µm
net78,338.655µm
net862,338.58µm
net489,338.37µm
net1430,338.18µm
net535,338.12µm
net1780,337.865µm
_06978_,337.78µm
net2690,337.5µm
_07429_,337.38µm
_07051_,337.37µm
_07089_,337.26µm
_03925_,337.225µm
net1845,337.17µm
net500,336.79µm
net1777,336.77µm
u_ibex_top.gen_regfile_ff.register_file_i.waddr_a_i\[3\],336.74µm
net1606,336.72µm
net708,336.64µm
net1548,336.26µm
net499,336.16µm
net1834,336.08µm
net1952,335.785µm
u_ibex_top.u_ibex_core.id_stage_i.controller_i.instr_i\[5\],335.74µm
_03008_,335.56µm
_06797_,335.55µm
net566,335.13µm
net1771,334.84µm
net1753,334.83µm
net1317,334.81µm
_08077_,334.7µm
net1936,334.63µm
_04600_,334.435µm
net2605,334.24µm
net2296,334.19µm
net37,333.9µm
net993,333.66µm
_06818_,333.42µm
_06813_,332.71µm
net838,332.64µm
net2129,332.62µm
net1680,332.58µm
net1916,332.29µm
_08071_,332.14µm
net1472,332.02µm
u_ibex_top.gen_regfile_ff.register_file_i.raddr_a_i\[2\],331.98µm
net1243,331.88µm
_07846_,331.74µm
_04430_,331.61µm
net895,330.95µm
net738,330.34µm
net550,330.18µm
_07077_,330µm
_06433_,329.92µm
net1751,329.9µm
net786,329.62µm
net775,329.57µm
_09413_,329.38µm
net89,329.22µm
net570,329.21µm
_08733_,328.94µm
net584,328.78µm
_04826_,328.72µm
net1769,328.55µm
net1811,328.39µm
net940,327.98µm
net806,326.91µm
net36,326.72µm
_04518_,326.68µm
net1947,326.565µm
net1540,326.375µm
net2121,326.26µm
net1597,325.5µm
net602,325.48µm
net659,325.27µm
net1215,325.08µm
net2315,325.065µm
net1728,324.92µm
net498,324.865µm
net1807,324.785µm
net513,324.65µm
net431,324.61µm
_08889_,324.45µm
net494,324.355µm
net1152,324.28µm
net884,324.18µm
net625,324.16µm
_07028_,324.01µm
net1951,324µm
net681,323.87µm
net1603,323.74µm
net817,323.505µm
net1762,323.26µm
net1022,323.19µm
net1346,323.18µm
_07001_,323.15µm
net88,323.12µm
_07656_,323.06µm
net1461,322.92µm
net796,322.66µm
net1848,322.64µm
net80,322.385µm
net1153,322.12µm
_07688_,321.87µm
net843,321.81µm
net426,321.76µm
net1754,321.54µm
u_ibex_top.u_ibex_core.alu_adder_result_ex\[8\],321.25µm
net504,321.2µm
net1945,320.48µm
net560,320.2µm
u_ibex_top.u_ibex_core.alu_adder_result_ex\[10\],319.99µm
net1474,319.725µm
_04418_,319.46µm
_08148_,319.455µm
_07013_,319.26µm
net591,318.96µm
net669,318.915µm
_04720_,318.88µm
net1664,318.62µm
_05803_,318.54µm
net1816,318.42µm
net1143,317.995µm
net766,317.96µm
net384,317.85µm
net512,317.465µm
net663,317.4µm
net492,317.32µm
net2136,317.22µm
_08333_,317.16µm
_08150_,317.055µm
_02437_,317µm
net827,316.91µm
net1922,316.85µm
net713,316.63µm
u_ibex_top.u_ibex_core.alu_adder_result_ex\[25\],316.6µm
net1919,316.45µm
net563,316.42µm
net122,316.04µm
u_ibex_top.u_ibex_core.ex_block_i.alu_i.g_no_alu_rvb.unused_imd_val_q\[54\],315.92µm
net1621,315.92µm
_05684_,315.9µm
net1642,315.72µm
net2071,315.49µm
net553,315.32µm
net936,315.31µm
_03741_,315.06µm
net2285,315.01µm
u_ibex_top.u_ibex_core.ex_block_i.alu_i.g_no_alu_rvb.unused_imd_val_q\[56\],314.97µm
u_ibex_top.u_ibex_core.alu_adder_result_ex\[9\],314.905µm
net1691,314.82µm
_07911_,314.56µm
u_ibex_top.u_ibex_core.ex_block_i.alu_i.g_no_alu_rvb.unused_imd_val_q\[55\],314.475µm
_04285_,314.415µm
net295,314.26µm
net72,314.24µm
net1948,313.92µm
_03934_,313.82µm
net1463,313.745µm
_07383_,313.67µm
_06350_,313.04µm
net1150,312.985µm
net613,312.79µm
net702,312.77µm
_06809_,312.76µm
_06659_,312.68µm
net1056,312.31µm
_07290_,311.86µm
_07787_,311.74µm
net1813,311.68µm
_04220_,311.595µm
net632,311.55µm
u_ibex_top.u_ibex_core.alu_adder_result_ex\[12\],311.525µm
u_ibex_top.u_ibex_core.id_stage_i.controller_i.instr_i\[14\],310.65µm
net680,310.59µm
net645,310.54µm
net1619,310.51µm
net808,310.29µm
net1348,310.25µm
net1802,309.925µm
net294,309.885µm
net1428,309.6µm
_07839_,309.5µm
u_ibex_top.u_ibex_core.alu_adder_result_ex\[4\],309.265µm
net509,309.07µm
_08241_,308.84µm
_07253_,308.62µm
net597,308.14µm
net739,308.08µm
_05375_,307.82µm
net943,307.3µm
net849,307.29µm
_04217_,307.16µm
_05893_,307.15µm
net1713,306.97µm
net652,306.87µm
net1628,306.62µm
net505,306.46µm
_07919_,306.28µm
u_ibex_top.u_ibex_core.ex_block_i.alu_i.g_no_alu_rvb.unused_imd_val_q\[50\],306.27µm
_04472_,306.22µm
_06216_,306.14µm
_08519_,306µm
net1688,306µm
net779,305.97µm
net1254,305.94µm
_05067_,305.88µm
_07102_,305.88µm
clknet_5_6__leaf_u_ibex_top.clk,305.82µm
net828,305.75µm
_06780_,305.68µm
net516,305.475µm
_07713_,305.32µm
net1658,304.99µm
net1857,304.91µm
_07317_,304.62µm
net642,304.24µm
net1741,304.05µm
net622,303.435µm
_04885_,303.34µm
_01978_,303.18µm
net789,303.06µm
net1029,302.94µm
net1547,302.92µm
_04997_,302.64µm
net697,302.48µm
net610,301.98µm
net2162,301.91µm
u_ibex_top.u_ibex_core.alu_adder_result_ex\[23\],301.9µm
net1279,301.5µm
u_ibex_top.u_ibex_core.alu_adder_result_ex\[11\],301.465µm
net495,301.29µm
net1675,301.18µm
_06855_,300.98µm
_08029_,300.86µm
_08331_,300.52µm
net2686,300.2µm
net917,300.04µm
net1211,299.91µm
net581,299.84µm
_02347_,299.3µm
net760,299.1µm
net1608,298.99µm
net582,298.87µm
net2137,298.83µm
net1775,298.82µm
net662,298.55µm
net319,298.405µm
_07574_,298.33µm
net1729,298.1µm
_05089_,298.04µm
net1850,297.98µm
_08980_,297.96µm
net596,297.85µm
net381,297.68µm
net830,297.59µm
net821,297.53µm
_07988_,297.5µm
net1036,297.31µm
net1161,297.165µm
net565,297.12µm
net637,296.94µm
net1359,296.86µm
net586,296.51µm
net593,296.47µm
net1747,296.465µm
_06332_,296.22µm
net933,295.98µm
net778,295.96µm
net831,295.71µm
net538,295.69µm
_05343_,295.56µm
net631,295.54µm
net859,295.21µm
net1793,295.035µm
_04536_,295.02µm
net1765,294.9µm
net1464,294.89µm
net641,294.87µm
_08001_,294.78µm
net1339,294.75µm
net1708,294.54µm
net1174,294.43µm
net1562,294.1µm
net571,294.07µm
net1617,293.975µm
net657,293.8µm
_01980_,293.74µm
net124,293.7µm
net692,293.46µm
net1555,293.46µm
net2692,293.46µm
net1685,293.39µm
net1217,293.32µm
net1293,293.28µm
net517,293.16µm
net1706,293.1µm
net2503,292.99µm
net2353,292.94µm
u_ibex_top.crash_dump_o\[38\],292.67µm
net648,292.5µm
net1438,292.445µm
net125,292.42µm
_07851_,292.3µm
net850,292.25µm
u_ibex_top.u_ibex_core.ex_block_i.alu_i.g_no_alu_rvb.unused_imd_val_q\[49\],292.13µm
net818,292.07µm
net1759,291.98µm
_02342_,291.83µm
_04483_,291.7µm
u_ibex_top.u_ibex_core.alu_adder_result_ex\[27\],291.27µm
net1818,291.2µm
u_ibex_top.crash_dump_o\[129\],290.87µm
net992,290.8µm
_07552_,290.59µm
net497,290.545µm
u_ibex_top.u_ibex_core.ex_block_i.alu_i.g_no_alu_rvb.unused_imd_val_q\[45\],290.33µm
net501,290.04µm
net700,289.82µm
net1545,289.81µm
net432,289.74µm
net677,289.71µm
net1731,289.69µm
net1094,289.485µm
net1019,289.22µm
net688,288.97µm
_03915_,288.905µm
net614,288.84µm
_09702_,288.82µm
_07401_,288.81µm
net1224,288.33µm
net1646,288.2µm
clknet_5_4__leaf_u_ibex_top.clk,288.19µm
net1660,288.04µm
net1118,287.78µm
net811,287.68µm
net1984,287.61µm
net2247,287.36µm
_02157_,287.21µm
net695,286.97µm
net865,286.82µm
net837,286.7µm
net667,286.62µm
_03913_,286.59µm
net1599,286.58µm
net23,286.45µm
net541,285.84µm
_02568_,285.65µm
net1798,285.625µm
net1826,285.48µm
net1828,284.97µm
_09305_,284.86µm
net809,284.69µm
net1142,284.69µm
_05619_,284.6µm
_05982_,284.57µm
net784,284.5µm
u_ibex_top.u_ibex_core.ex_block_i.alu_i.g_no_alu_rvb.unused_imd_val_q\[48\],284.475µm
net1725,284.03µm
net592,283.87µm
net2693,283.525µm
net872,283.51µm
net558,283.31µm
net1389,283.25µm
_03927_,283.19µm
net1051,283.19µm
net2029,282.9µm
net852,282.86µm
net1730,282.66µm
net1852,282.61µm
net1280,282.39µm
net769,282.25µm
u_ibex_top.u_ibex_core.ex_block_i.alu_i.g_no_alu_rvb.unused_imd_val_q\[47\],282.24µm
net623,282.2µm
_07126_,282.15µm
net1939,282.15µm
net568,282.09µm
net1736,281.91µm
u_ibex_top.u_ibex_core.ex_block_i.alu_i.g_no_alu_rvb.unused_imd_val_q\[52\],281.74µm
_07278_,281.59µm
_06066_,281.58µm
_07686_,281.57µm
net371,281.51µm
net1441,281.2µm
_06920_,281µm
_03174_,280.985µm
net548,280.81µm
net902,280.78µm
net1940,280.71µm
net2384,280.66µm
net2142,280.52µm
net1934,280.455µm
net2111,279.75µm
net2694,279.695µm
clknet_5_28__leaf_u_ibex_top.clk,279.66µm
_09085_,279.34µm
net1727,279.24µm
net675,279.18µm
net958,279.04µm
net1745,278.84µm
net751,278.77µm
net543,278.5µm
net572,278.5µm
_08070_,278.46µm
net1457,278.375µm
net1766,278.23µm
net1090,278.18µm
net551,278.07µm
net706,278.05µm
net741,277.97µm
_08195_,277.71µm
_05932_,277.54µm
net626,277.5µm
net2118,277.425µm
net861,277.41µm
net607,277.095µm
net398,276.99µm
net832,276.61µm
_02344_,276.58µm
_07141_,276.48µm
net705,276.25µm
u_ibex_top.crash_dump_o\[132\],276.16µm
_07075_,276.07µm
net1846,276.06µm
net664,275.84µm
net2014,275.73µm
net561,275.7µm
net1876,275.64µm
net2297,275.64µm
net844,275.605µm
