Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_266_249,VPWR,li1,120.7500,737.1200,1.799997
FILLER_266_237,VPWR,li1,117.3000,737.1200,1.799997
FILLER_266_225,VPWR,li1,111.7800,737.1200,1.799997
FILLER_266_221,VPWR,li1,107.8700,737.1200,1.799997
FILLER_266_209,VPWR,li1,104.4200,737.1200,1.799997
FILLER_266_197,VPWR,li1,98.9000,737.1200,1.799997
FILLER_266_195,VPWR,li1,95.4500,737.1200,1.799997
FILLER_266_181,VPWR,li1,90.1600,737.1200,1.799997
FILLER_266_169,VPWR,li1,86.0200,737.1200,1.799997
FILLER_266_165,VPWR,li1,82.1100,737.1200,1.799997
FILLER_266_153,VPWR,li1,78.6600,737.1200,1.799997
FILLER_266_141,VPWR,li1,73.1400,737.1200,1.799997
FILLER_266_139,VPWR,li1,69.6900,737.1200,1.799998
FILLER_266_133,VPWR,li1,68.0800,737.1200,1.799998
FILLER_266_121,VPWR,li1,63.9400,737.1200,1.799998
FILLER_266_109,VPWR,li1,56.3500,737.1200,1.799998
FILLER_266_97,VPWR,li1,52.9000,737.1200,1.799998
FILLER_266_85,VPWR,li1,47.3800,737.1200,1.799998
FILLER_266_81,VPWR,li1,43.4700,737.1200,1.799998
FILLER_266_69,VPWR,li1,40.0200,737.1200,1.799999
FILLER_266_57,VPWR,li1,34.5000,737.1200,1.799999
FILLER_266_53,VPWR,li1,30.5900,737.1200,1.799999
FILLER_266_41,VPWR,li1,27.1400,737.1200,1.799999
FILLER_266_29,VPWR,li1,21.6200,737.1200,1.799999
FILLER_266_27,VPWR,li1,18.1700,737.1200,1.799999
FILLER_266_23,VPWR,li1,17.0200,737.1200,1.799999
FILLER_266_11,VPWR,li1,13.3400,737.1200,1.799999
FILLER_265_1601,VPWR,li1,742.4400,731.6800,1.799974
FILLER_265_1593,VPWR,li1,740.1400,731.6800,1.799974
FILLER_265_1581,VPWR,li1,735.5400,731.6800,1.799975
FILLER_265_1569,VPWR,li1,730.0200,731.6800,1.799975
FILLER_265_1567,VPWR,li1,726.5700,731.6800,1.799975
FILLER_265_1561,VPWR,li1,724.9600,731.6800,1.799975
FILLER_265_1549,VPWR,li1,720.8200,731.6800,1.799976
FILLER_265_1537,VPWR,li1,715.3000,731.6800,1.799976
FILLER_265_1525,VPWR,li1,709.7800,731.6800,1.799976
FILLER_265_1513,VPWR,li1,704.2600,731.6800,1.799977
FILLER_265_1509,VPWR,li1,700.3500,731.6800,1.799977
FILLER_265_1501,VPWR,li1,697.8200,731.6800,1.799977
FILLER_265_1489,VPWR,li1,693.2200,731.6800,1.799977
